time_in,time_out,visual,subtitle_cn,vo_en,sfx,kpi_overlay,transition
00:00:00.000,00:00:22.000,"Dashboard opening with Mission Control, SRL panel, Autonomous Agent Mesh and Live System Stream scroll sequence.","农业核心痛点：高不确定性、短窗口、责任不清。Sentinel将风险、执行与责任整合为统一决策OS。","Agriculture's core pain is uncertainty with short decision windows and unclear accountability. Sentinel unifies risk, execution, and responsibility into one decision OS.","deep pulse + ui scan ticks","kpi_painpoint_to_os","fade in"
00:00:22.000,00:00:38.000,"Scenario Control walkthrough: load scenario, step progression, and journey pipeline.","展示五段闭环：感知、推理、处方、执行、审计；每一步都可追溯。","We show the five-stage loop: sensing, reasoning, prescription, execution, and audit, with full traceability.","navigation whoosh + relay pings","kpi_closed_loop","hard cut"
00:00:38.000,00:00:52.000,"Sensor Telemetry page with time-window switch, sensor card focus, threshold and pest sections.","多源数据持续接入并交叉校验，系统在阈值前识别风险趋势。","Multi-source telemetry is continuously fused and cross-validated to detect risk before thresholds are breached.","data stream + telemetry blips","kpi_data_fusion","hard cut"
00:00:52.000,00:01:08.000,"Risk Assessment engine with report generation, evidence board and risk report section scroll.","迭代推理前半段：识别异常、证据聚合、构建风险假设与时间窗口。","Iterative reasoning part one: anomaly detection, evidence aggregation, and risk hypothesis with time windows.","analytical pulse + alert rise","kpi_reasoning_part1","hard cut"
00:01:08.000,00:01:26.000,"Prescription Builder with generate action and deep scroll over factors, constraints, alternatives and cost-benefit.","迭代推理后半段：方案对比、合规约束校验、输出可执行可审计处方。","Iterative reasoning part two: compare options, enforce compliance constraints, and output executable auditable prescriptions.","logic clicks + structured swells","kpi_reasoning_part2","hard cut"
00:01:26.000,00:01:46.000,"Scenario page focused on AI Agent Activity and collaboration flow under autoplay.","多智能体网络并行协作：农艺、看门狗、合规、执行、审计、财务各司其职。","A multi-agent network collaborates in parallel: agronomy, watchdog, compliance, execution, audit, and finance agents.","network pulses + coordination ticks","kpi_multi_agent_mesh","hard cut"
00:01:46.000,00:02:00.000,"Execution Command Center with AI analysis, completion, fingerprint and step timeline scroll.","全资源编排与执行指纹确保方案真正落地，控制执行偏差。","Unified orchestration with execution fingerprints ensures plans are truly delivered while controlling deviations.","orchestration beat + actuator hits","kpi_execution_fingerprint","hard cut"
00:02:00.000,00:02:14.000,"Audit report generation with automated sections, provenance trail and distribution.","审计链路自动闭环并标注责任边界，为分润、监管和复盘提供证据。","Audit closes the loop and marks responsibility boundaries, supporting revenue-sharing, compliance, and postmortems.","report compile + resolve tone","kpi_audit_accountability","hard cut"
00:02:14.000,00:02:24.000,"History dashboard with filters and ROI sections.","客户收益可量化：风险更低、响应更快、用药更少、Grade A占比更高。","Client value is measurable: lower risk, faster response, reduced chemical use, and higher Grade A mix.","steady beat + chart accents","kpi_client_benefit","hard cut"
00:02:24.000,00:02:30.000,"Final return to Dashboard for closing statement and brand lock.","Sentinel让农业从不确定走向确定性增长：投资可复制、客户可增收。","Sentinel turns uncertainty into deterministic growth: scalable for investors and profitable for clients.","brand rise + close hit","kpi_deterministic_growth","fade out"
