time_in,time_out,visual,subtitle_cn,vo_en,sfx,kpi_overlay,transition
00:00:00.000,00:00:10.000,"Dashboard boot with Mission Control, live stream, AI watchdog activity; light scroll and analysis trigger.","Sentinel不是报表系统，\n而是持续运转的决策OS。","Sentinel is not reporting software. It is a living decision operating system.","low pulse + UI boot ticks","kpi_live_cycles","fade in"
00:00:10.000,00:00:22.000,"Scenario Control Center opens; first scenario loaded; autoplay drives pipeline journey.","先加载真实场景，\n再按步骤推进决策闭环。","We load a real scenario first, then drive the decision loop step by step.","navigation whoosh + pulse riser","kpi_scenario_steps","hard cut"
00:00:22.000,00:00:34.000,"Sensor Telemetry with multi-window switch, card focus, and breach/pest sections.","多源传感器每秒回传，\n系统实时校验风险信号。","Multi-source sensors stream every second while Sentinel validates risk signals in real time.","data ticks + telemetry sweep","kpi_sensor_fusion","hard cut"
00:00:34.000,00:00:48.000,"Risk Assessment engine generates report; gauges, trend, and evidence board animate in view.","风险还未爆发，\nAI已提前进入主动防御。","Before risk fully materializes, AI has already entered proactive defense.","alert pulse + analytical swell","kpi_proactive_window","glitch cut"
00:00:48.000,00:01:02.000,"Prescription Builder shows generated plan, JSON/card toggles, and reasoning/constraints.","Sentinel AI迭代推理，\n比较方案并约束合规。","Sentinel AI reasons iteratively, compares alternatives, and enforces compliance constraints.","logic clicks + short uplifts","kpi_iterative_reasoning","hard cut"
00:01:02.000,00:01:16.000,"Execution Command Center with AI analysis, completion trigger, fingerprint and timeline panels.","无人机、设备与人力被统一调度，\n形成可追踪执行指纹。","Drones, machines, and teams are orchestrated together with a traceable execution fingerprint.","orchestration rhythm + actuator hits","kpi_execution_fingerprint","hard cut"
00:01:16.000,00:01:28.000,"Audit Report auto-generation, compliance checks, provenance trail, and distribution targets.","审计引擎自动生成证据链，\n把结果与责任清晰标注。","The audit engine compiles evidence chains and marks outcomes with accountability.","report compile ticks + resolve tone","kpi_audit_closure","hard cut"
00:01:28.000,00:01:38.000,"History dashboard filters and expands interventions; ROI, quality and response charts visible.","长期结果可量化：\nROI提升、用药下降、等级上升。","Long-term outcomes are measurable: higher ROI, lower chemical use, and better grade mix.","steady beat + chart swells","kpi_roi_gradeA","hard cut"
00:01:38.000,00:01:48.000,"Admin page walkthrough across thresholds, PHI and banned-list governance controls.","阈值、PHI与禁限药规则可配置，\n系统主动但始终可治理。","Thresholds, PHI, and restricted-chemical rules are configurable so autonomy stays governed.","controlled pulse + soft clicks","kpi_governance","hard cut"
00:01:48.000,00:02:00.000,"Return to Dashboard for final brand lock; Mission Control highlighted as closure.","Sentinel把不确定农业，\n转化为可审计的确定性增长。","Sentinel turns uncertain agriculture into auditable deterministic growth.","final rise + brand tail","kpi_final_cta","fade out"
